starttime	seconds	ctime	dtime	ttime	wait
Wed Nov 24 17:58:18 2021	1637751498	0	19	19	19
Wed Nov 24 17:58:19 2021	1637751499	0	19	19	19
Wed Nov 24 17:58:19 2021	1637751499	0	19	19	19
Wed Nov 24 17:58:19 2021	1637751499	0	19	19	19
Wed Nov 24 17:58:19 2021	1637751499	0	19	19	19
Wed Nov 24 17:58:19 2021	1637751499	0	19	19	19
Wed Nov 24 17:58:18 2021	1637751498	0	19	19	19
Wed Nov 24 17:58:18 2021	1637751498	2	17	19	16
Wed Nov 24 17:58:18 2021	1637751498	0	19	19	19
Wed Nov 24 17:58:18 2021	1637751498	0	19	19	19
Wed Nov 24 17:58:18 2021	1637751498	0	19	19	19
Wed Nov 24 17:58:18 2021	1637751498	0	19	19	19
Wed Nov 24 17:58:18 2021	1637751498	0	19	19	19
Wed Nov 24 17:58:19 2021	1637751499	0	19	19	19
Wed Nov 24 17:58:19 2021	1637751499	0	19	19	19
Wed Nov 24 17:58:18 2021	1637751498	0	19	19	19
Wed Nov 24 17:58:19 2021	1637751499	0	19	19	19
Wed Nov 24 17:58:19 2021	1637751499	0	19	19	19
Wed Nov 24 17:58:19 2021	1637751499	0	19	19	19
Wed Nov 24 17:58:19 2021	1637751499	0	19	19	19
Wed Nov 24 17:58:19 2021	1637751499	0	19	19	19
Wed Nov 24 17:58:19 2021	1637751499	0	19	19	19
Wed Nov 24 17:58:19 2021	1637751499	0	19	19	19
Wed Nov 24 17:58:19 2021	1637751499	0	19	19	19
Wed Nov 24 17:58:19 2021	1637751499	0	19	19	19
Wed Nov 24 17:58:19 2021	1637751499	0	19	19	19
Wed Nov 24 17:58:19 2021	1637751499	0	19	19	19
Wed Nov 24 17:58:19 2021	1637751499	0	19	19	19
Wed Nov 24 17:58:18 2021	1637751498	0	19	19	19
Wed Nov 24 17:58:18 2021	1637751498	4	15	19	15
Wed Nov 24 17:58:19 2021	1637751499	0	19	19	19
Wed Nov 24 17:58:18 2021	1637751498	0	19	19	19
Wed Nov 24 17:58:18 2021	1637751498	0	19	19	19
Wed Nov 24 17:58:19 2021	1637751499	0	19	19	19
Wed Nov 24 17:58:19 2021	1637751499	0	19	19	19
Wed Nov 24 17:58:19 2021	1637751499	0	19	19	19
Wed Nov 24 17:58:18 2021	1637751498	0	19	19	19
Wed Nov 24 17:58:19 2021	1637751499	0	19	19	19
Wed Nov 24 17:58:19 2021	1637751499	0	19	19	19
Wed Nov 24 17:58:19 2021	1637751499	0	19	19	19
Wed Nov 24 17:58:19 2021	1637751499	0	19	19	19
Wed Nov 24 17:58:18 2021	1637751498	0	19	19	19
Wed Nov 24 17:58:19 2021	1637751499	0	19	19	19
Wed Nov 24 17:58:19 2021	1637751499	0	19	19	19
Wed Nov 24 17:58:19 2021	1637751499	0	19	19	19
Wed Nov 24 17:58:19 2021	1637751499	0	19	19	19
Wed Nov 24 17:58:19 2021	1637751499	0	19	19	19
Wed Nov 24 17:58:19 2021	1637751499	0	19	19	19
Wed Nov 24 17:58:19 2021	1637751499	0	19	19	19
Wed Nov 24 17:58:18 2021	1637751498	0	19	19	19
Wed Nov 24 17:58:19 2021	1637751499	0	19	19	19
Wed Nov 24 17:58:19 2021	1637751499	0	19	19	19
Wed Nov 24 17:58:19 2021	1637751499	0	19	19	19
Wed Nov 24 17:58:19 2021	1637751499	0	19	19	19
Wed Nov 24 17:58:19 2021	1637751499	0	19	19	19
Wed Nov 24 17:58:19 2021	1637751499	0	19	19	19
Wed Nov 24 17:58:19 2021	1637751499	0	19	20	19
Wed Nov 24 17:58:18 2021	1637751498	0	19	20	19
Wed Nov 24 17:58:18 2021	1637751498	0	19	20	19
Wed Nov 24 17:58:19 2021	1637751499	0	19	20	19
Wed Nov 24 17:58:19 2021	1637751499	0	19	20	19
Wed Nov 24 17:58:19 2021	1637751499	0	19	20	19
Wed Nov 24 17:58:18 2021	1637751498	0	19	20	19
Wed Nov 24 17:58:19 2021	1637751499	0	19	20	19
Wed Nov 24 17:58:19 2021	1637751499	0	19	20	19
Wed Nov 24 17:58:18 2021	1637751498	0	19	20	19
Wed Nov 24 17:58:18 2021	1637751498	0	19	20	19
Wed Nov 24 17:58:18 2021	1637751498	0	19	20	19
Wed Nov 24 17:58:19 2021	1637751499	0	19	20	19
Wed Nov 24 17:58:18 2021	1637751498	0	19	20	19
Wed Nov 24 17:58:18 2021	1637751498	0	19	20	19
Wed Nov 24 17:58:19 2021	1637751499	0	19	20	19
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	19
Wed Nov 24 17:58:19 2021	1637751499	0	19	20	19
Wed Nov 24 17:58:19 2021	1637751499	0	19	20	19
Wed Nov 24 17:58:19 2021	1637751499	0	19	20	19
Wed Nov 24 17:58:19 2021	1637751499	0	19	20	19
Wed Nov 24 17:58:19 2021	1637751499	0	19	20	19
Wed Nov 24 17:58:19 2021	1637751499	0	19	20	19
Wed Nov 24 17:58:19 2021	1637751499	0	19	20	19
Wed Nov 24 17:58:19 2021	1637751499	0	19	20	19
Wed Nov 24 17:58:18 2021	1637751498	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	19
Wed Nov 24 17:58:18 2021	1637751498	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	19
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	19
Wed Nov 24 17:58:18 2021	1637751498	0	20	20	19
Wed Nov 24 17:58:18 2021	1637751498	0	20	20	19
Wed Nov 24 17:58:18 2021	1637751498	0	20	20	20
Wed Nov 24 17:58:18 2021	1637751498	0	19	20	19
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:18 2021	1637751498	0	20	20	19
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:18 2021	1637751498	0	20	20	19
Wed Nov 24 17:58:18 2021	1637751498	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:18 2021	1637751498	0	20	20	20
Wed Nov 24 17:58:18 2021	1637751498	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:18 2021	1637751498	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:18 2021	1637751498	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:18 2021	1637751498	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:18 2021	1637751498	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:18 2021	1637751498	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:18 2021	1637751498	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:18 2021	1637751498	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:18 2021	1637751498	0	20	20	19
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:18 2021	1637751498	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:18 2021	1637751498	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:18 2021	1637751498	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:18 2021	1637751498	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:18 2021	1637751498	0	20	20	20
Wed Nov 24 17:58:18 2021	1637751498	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:18 2021	1637751498	0	20	20	20
Wed Nov 24 17:58:18 2021	1637751498	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:18 2021	1637751498	0	20	20	20
Wed Nov 24 17:58:18 2021	1637751498	0	20	20	20
Wed Nov 24 17:58:18 2021	1637751498	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:18 2021	1637751498	0	20	20	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	20	20
Wed Nov 24 17:58:18 2021	1637751498	0	20	20	20
Wed Nov 24 17:58:18 2021	1637751498	0	20	20	20
Wed Nov 24 17:58:18 2021	1637751498	0	20	21	20
Wed Nov 24 17:58:18 2021	1637751498	0	20	21	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	21	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	21	20
Wed Nov 24 17:58:18 2021	1637751498	0	20	21	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	21	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	21	20
Wed Nov 24 17:58:18 2021	1637751498	0	20	21	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	21	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	21	20
Wed Nov 24 17:58:18 2021	1637751498	0	20	21	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	21	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	21	20
Wed Nov 24 17:58:18 2021	1637751498	0	20	21	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	21	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	21	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	21	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	21	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	21	20
Wed Nov 24 17:58:18 2021	1637751498	0	20	21	20
Wed Nov 24 17:58:18 2021	1637751498	0	20	21	20
Wed Nov 24 17:58:18 2021	1637751498	0	20	21	20
Wed Nov 24 17:58:18 2021	1637751498	0	20	21	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	21	20
Wed Nov 24 17:58:18 2021	1637751498	4	17	21	17
Wed Nov 24 17:58:19 2021	1637751499	0	20	21	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	21	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	21	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	21	20
Wed Nov 24 17:58:18 2021	1637751498	0	20	21	20
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	20
Wed Nov 24 17:58:18 2021	1637751498	0	20	21	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	21	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	21	20
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:18 2021	1637751498	0	21	21	20
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	20
Wed Nov 24 17:58:18 2021	1637751498	0	21	21	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	21	20
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	20
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	20
Wed Nov 24 17:58:18 2021	1637751498	0	20	21	20
Wed Nov 24 17:58:19 2021	1637751499	0	20	21	20
Wed Nov 24 17:58:18 2021	1637751498	0	21	21	20
Wed Nov 24 17:58:18 2021	1637751498	0	20	21	20
Wed Nov 24 17:58:18 2021	1637751498	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	20	21	20
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:18 2021	1637751498	0	20	21	20
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	20
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:18 2021	1637751498	0	21	21	21
Wed Nov 24 17:58:18 2021	1637751498	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	20	21	20
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:18 2021	1637751498	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:18 2021	1637751498	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	20
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:18 2021	1637751498	4	17	21	17
Wed Nov 24 17:58:18 2021	1637751498	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:18 2021	1637751498	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:18 2021	1637751498	0	21	21	21
Wed Nov 24 17:58:18 2021	1637751498	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:18 2021	1637751498	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:18 2021	1637751498	0	21	21	21
Wed Nov 24 17:58:18 2021	1637751498	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:18 2021	1637751498	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:18 2021	1637751498	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:18 2021	1637751498	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:18 2021	1637751498	0	21	21	21
Wed Nov 24 17:58:18 2021	1637751498	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:18 2021	1637751498	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:18 2021	1637751498	0	21	21	21
Wed Nov 24 17:58:18 2021	1637751498	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:18 2021	1637751498	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:18 2021	1637751498	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:18 2021	1637751498	0	21	21	21
Wed Nov 24 17:58:18 2021	1637751498	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
Wed Nov 24 17:58:19 2021	1637751499	0	21	21	21
