starttime	seconds	ctime	dtime	ttime	wait
Wed Nov 24 17:56:11 2021	1637751371	0	13	14	13
Wed Nov 24 17:56:11 2021	1637751371	0	13	14	13
Wed Nov 24 17:56:11 2021	1637751371	0	13	14	13
Wed Nov 24 17:56:11 2021	1637751371	0	13	14	13
Wed Nov 24 17:56:11 2021	1637751371	0	13	14	13
Wed Nov 24 17:56:11 2021	1637751371	0	13	14	13
Wed Nov 24 17:56:11 2021	1637751371	0	13	14	13
Wed Nov 24 17:56:11 2021	1637751371	0	14	14	13
Wed Nov 24 17:56:11 2021	1637751371	0	14	14	13
Wed Nov 24 17:56:11 2021	1637751371	0	13	14	13
Wed Nov 24 17:56:11 2021	1637751371	0	13	14	13
Wed Nov 24 17:56:11 2021	1637751371	0	14	14	13
Wed Nov 24 17:56:11 2021	1637751371	0	13	14	13
Wed Nov 24 17:56:11 2021	1637751371	0	14	14	13
Wed Nov 24 17:56:11 2021	1637751371	0	13	14	13
Wed Nov 24 17:56:11 2021	1637751371	1	13	14	13
Wed Nov 24 17:56:11 2021	1637751371	0	14	14	14
Wed Nov 24 17:56:11 2021	1637751371	0	14	14	14
Wed Nov 24 17:56:11 2021	1637751371	0	14	14	14
Wed Nov 24 17:56:11 2021	1637751371	0	14	14	14
Wed Nov 24 17:56:11 2021	1637751371	0	14	14	14
Wed Nov 24 17:56:11 2021	1637751371	0	14	14	14
Wed Nov 24 17:56:11 2021	1637751371	0	14	14	14
Wed Nov 24 17:56:11 2021	1637751371	0	14	14	14
Wed Nov 24 17:56:11 2021	1637751371	0	13	14	13
Wed Nov 24 17:56:11 2021	1637751371	0	14	14	14
Wed Nov 24 17:56:11 2021	1637751371	0	14	14	14
Wed Nov 24 17:56:11 2021	1637751371	0	14	14	14
Wed Nov 24 17:56:11 2021	1637751371	0	14	14	14
Wed Nov 24 17:56:11 2021	1637751371	0	14	14	14
Wed Nov 24 17:56:11 2021	1637751371	0	14	14	14
Wed Nov 24 17:56:11 2021	1637751371	0	14	14	14
Wed Nov 24 17:56:11 2021	1637751371	0	14	14	14
Wed Nov 24 17:56:11 2021	1637751371	0	14	14	14
Wed Nov 24 17:56:11 2021	1637751371	0	14	14	14
Wed Nov 24 17:56:11 2021	1637751371	0	14	14	14
Wed Nov 24 17:56:11 2021	1637751371	0	14	14	14
Wed Nov 24 17:56:11 2021	1637751371	0	14	14	14
Wed Nov 24 17:56:11 2021	1637751371	0	14	14	14
Wed Nov 24 17:56:11 2021	1637751371	0	14	14	14
Wed Nov 24 17:56:11 2021	1637751371	0	14	14	14
Wed Nov 24 17:56:11 2021	1637751371	0	14	14	14
Wed Nov 24 17:56:11 2021	1637751371	0	14	14	14
Wed Nov 24 17:56:11 2021	1637751371	0	14	14	14
Wed Nov 24 17:56:11 2021	1637751371	0	14	14	14
Wed Nov 24 17:56:11 2021	1637751371	0	14	14	14
Wed Nov 24 17:56:11 2021	1637751371	0	14	14	14
Wed Nov 24 17:56:11 2021	1637751371	0	14	14	14
Wed Nov 24 17:56:11 2021	1637751371	0	14	14	14
Wed Nov 24 17:56:11 2021	1637751371	0	14	14	14
Wed Nov 24 17:56:11 2021	1637751371	0	14	14	14
Wed Nov 24 17:56:11 2021	1637751371	0	14	14	14
Wed Nov 24 17:56:11 2021	1637751371	0	14	14	14
Wed Nov 24 17:56:11 2021	1637751371	0	14	14	14
Wed Nov 24 17:56:11 2021	1637751371	0	14	14	14
Wed Nov 24 17:56:11 2021	1637751371	0	14	14	14
Wed Nov 24 17:56:11 2021	1637751371	0	14	14	14
Wed Nov 24 17:56:11 2021	1637751371	0	14	14	14
Wed Nov 24 17:56:11 2021	1637751371	0	14	14	14
Wed Nov 24 17:56:11 2021	1637751371	0	14	14	14
Wed Nov 24 17:56:11 2021	1637751371	0	14	14	14
Wed Nov 24 17:56:11 2021	1637751371	0	14	14	14
Wed Nov 24 17:56:11 2021	1637751371	0	14	14	14
Wed Nov 24 17:56:11 2021	1637751371	0	14	14	14
Wed Nov 24 17:56:11 2021	1637751371	0	14	14	14
